16:20:31.928; 0; Start of recording
16:21:18.332; 55; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'VG1'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'TO_MOVING_POS'}}}
16:21:18.569; 56; LineStatus/Data; {'Line1': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'RELEASE'}, 'MPS': {'status': 'INIT'}}}
16:21:19.480; 57; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'GR1'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'INIT'}}}
16:21:19.499; 58; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'START'}}}
16:21:19.515; 59; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'OVEN'}}}
16:21:22.765; 60; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'VG1'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'MOVING'}}}
16:21:26.200; 61; LineStatus/Data; {'Line4': {'self': {'state': 'WH_RETRIEVE', 'product_at': 'VG1'}, 'WH': {'status': 'INIT'}, 'VG1': {'status': 'TO_DESTINATION'}}}
16:21:27.695; 62; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'GR1': {'status': 'INIT'}, 'MPS': {'status': 'TO_TABLE'}}}
16:21:28.483; 63; MachineStatus/Data; {'GR1': ['RUNNING', 'Line2']}
16:21:28.483; 64; LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_TABLE'}}}
16:21:28.500; 65; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'INIT'}}}
16:21:28.689; 66; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_MOVING_POS'}}}
16:21:29.489; 67; MachineStatus/Data; {'CB4': ['BLOCKED', 'Line4']}
16:21:29.509; 68; MachineStatus/Data; {'CB4_TO_WH': ['BLOCKED', 'Line4']}
16:21:29.518; 69; MachineStatus/Data; {'CB4_TO_CB5': ['RUNNING', 'Line4']}
16:21:29.518; 70; LineStatus/Data; {'Line4': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'VG1'}, 'WH': {'status': 'END'}, 'VG1': {'status': 'INIT'}}}
16:21:29.519; 71; MachineStatus/Data; {'WH': ['FREE', 'None']}
16:21:29.522; 72; MachineStatus/Data; {'WH_STORE': ['FREE', 'None']}
16:21:29.523; 73; MachineStatus/Data; {'WH_RETRIEVE': ['FREE', 'None']}
16:21:29.525; 74; LineStatus/Data; {'Line4': {'self': {'state': 'CB4_TO_CB5', 'product_at': 'CB4'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
16:21:32.579; 75; MachineStatus/Data; {'CB5': ['RUNNING', 'Line4']}
16:21:32.586; 76; LineStatus/Data; {'Line4': {'self': {'state': 'CB5', 'product_at': 'CB4'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}}}
16:21:32.606; 77; MachineStatus/Data; {'GR3': ['RUNNING', 'Line4']}
16:21:32.619; 78; LineStatus/Data; {'Line4': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'INIT'}}}
16:21:32.819; 79; LineStatus/Data; {'Line4': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'VG1': {'status': 'INIT'}, 'CB4': {'status': 'RUN'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'TO_DESTINATION'}}}
16:21:33.201; 80; LineStatus/Data; {'Line2': {'self': {'state': 'GR1', 'product_at': None}, 'GR1': {'status': 'TO_DESTINATION'}}}
16:21:33.587; 81; LineStatus/Data; {'Line4': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'CB4': {'status': 'RUN'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'TO_DESTINATION'}}}
16:21:34.380; 82; MachineStatus/Data; {'CB4': ['FREE', 'None']}
16:21:34.396; 83; MachineStatus/Data; {'CB4_TO_WH': ['FREE', 'None']}
16:21:34.396; 84; MachineStatus/Data; {'CB4_TO_CB5': ['FREE', 'None']}
16:21:34.396; 85; LineStatus/Data; {'Line4': {'self': {'state': 'CB5', 'product_at': 'CB5'}, 'CB5': {'status': 'RUN'}, 'GR3': {'status': 'TO_DESTINATION'}}}
